CRASH_CRN,DISTRICT,MUNICIPALITY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,WEATHER,ROAD_CONDITION,COLLISION_TYPE,SCH_BUS_IND,SCH_ZONE_IND,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_MAJ_INJ_COUNT,PED_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG,WET_ROAD,SNOW_SLUSH_ROAD,ICY_ROAD,SUDDEN_DEER,FATAL_OR_MAJ_INJ,INJURY,FATAL,SCHOOL_BUS,SCHOOL_ZONE,BICYCLE,HVY_TRUCK_RELATED,ALCOHOL_RELATED,DRINKING_DRIVER,UNDERAGE_DRNK_DRV,CELL_PHONE,SPEEDING_RELATED,AGGRESSIVE_DRIVING,FATIGUE_ASLEEP,PEDESTRIAN,DISTRACTED,MC_DRINKING_DRIVER,DRUGGED_DRIVER,INJURY_OR_FATAL,IMPAIRED_DRIVER,DEER_RELATED,DRUG_RELATED,STREET_NAME
2010003894,11,2301,2010,1,1,311,3,1,6,9,N,N,0,0,0,0,0,1,0,0,1,0,0,1,0,1,40 26:39.976,79 58:32.282,40.44440079,-79.9756012,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,ROSE ST
2010004350,11,2446,2010,1,4,2311,23,2,5,7,N,N,0,0,0,0,1,0,0,1,0,0,0,0,0,0,40 25:52.897,79 48:06.903,40.4314003,-79.80190277,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,THOMPSON RUN RD
2010006973,11,2204,2010,1,7,248,2,1,0,7,N,N,0,0,1,0,0,0,0,1,1,0,0,0,0,0,40 15:36.742,79 54:09.510,40.2602005,-79.90260315,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,BUNOLA RIVER RD
2010007528,11,2301,2010,1,3,700,7,6,1,8,N,N,0,0,0,0,1,0,0,0,1,0,0,1,0,1,40 26:36.128,80 03:26.200,40.44340134,-80.05729675,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,STEUBEN ST
2010007625,11,2446,2010,1,5,643,6,3,5,1,N,N,1,0,0,0,1,0,0,0,1,0,0,0,0,0,40 26:32.514,79 49:18.652,40.44229889,-79.82209778,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,PENN LINCOLN PY
2010007627,11,2446,2010,1,2,18,0,1,0,7,N,N,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40 26:31.056,79 47:40.116,40.44200134,-79.7947998,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,PENN LINCOLN PY
2010009554,11,2204,2010,1,6,2328,23,1,0,7,N,N,1,0,0,0,0,0,0,0,3,0,0,0,0,0,40 13:20.591,79 57:50.444,40.22240067,-79.96399689,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,BUNOLA RIVER RD
2010009636,11,2126,2010,1,2,1609,16,4,1,4,N,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,40 27:40.235,80 06:42.745,40.46120071,-80.11190033,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RAYMOND P SHAFER HW
2010011294,11,2473,2010,1,6,1057,10,1,0,7,N,N,1,0,0,0,0,0,0,0,1,0,0,0,0,0,40 23:30.315,79 52:37.900,40.39179993,-79.87719727,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,ELIZA ST
2010011982,11,2435,2010,1,6,2334,23,1,0,1,N,N,2,0,0,0,0,0,0,0,1,0,0,0,0,0,40 25:15.614,80 02:34.276,40.42110062,-80.04499817,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PENN LINCOLN PY
